ID1575327541884,1,1.58,6241,3791,773064
ID1575327646227,1,1.58,6260,3803,779527
ID1575327746693,1,1.58,6274,3809,773786
ID1575327848679,1,1.58,6238,3797,777411
ID1575327942756,1,1.58,6213,3813,777389
ID1575328037700,1,1.58,6208,3795,773352
ID1575328138516,1,1.58,6256,3813,776096
ID1575328239164,1,1.58,6271,3786,778668
ID1575328342819,1,1.58,6272,3825,781189
ID1575328447993,1,1.58,6263,3819,778324
ID1575328549593,1,1.54,6405,3806,777119
ID1575328652841,1,1.54,6430,3808,777617
ID1575328758579,1,1.54,6419,3795,778477
ID1575328866286,1,1.54,6403,3791,778794
ID1575328975511,1,1.54,6435,3803,774531
ID1575329085585,1,1.54,6441,3816,780169
ID1575329201759,1,1.54,6389,3806,775026
ID1575329315943,1,1.54,6461,3815,783437
ID1575329428256,1,1.54,6380,3793,773741
ID1575329539449,1,1.54,6384,3792,778155
ID1575329652287,1,1.5,6564,3799,777458
ID1575329771046,1,1.5,6536,3787,773973
ID1575329881842,1,1.5,6543,3809,781148
ID1575330000481,1,1.5,6547,3809,777559
ID1575330113730,1,1.5,6580,3797,781421
ID1575330232874,1,1.5,6570,3795,780965
ID1575330344127,1,1.5,6541,3811,777138
ID1575330465959,1,1.5,6548,3797,778594
ID1575330579626,1,1.5,6534,3807,780067
ID1575330702909,1,1.5,6539,3797,778076
ID1575330820328,1,1.46,6636,3805,783650
ID1575330945191,1,1.46,6614,3791,770144
ID1575331064974,1,1.46,6631,3791,780309
ID1575331186656,1,1.46,6617,3789,773772
ID1575331310833,1,1.46,6639,3782,780288
ID1575331429175,1,1.46,6642,3795,777058
ID1575331558606,1,1.46,6889,3949,790580
ID1575331686774,1,1.46,6606,3793,776321
ID1575331808981,1,1.46,6623,3785,777772
ID1575331921113,1,1.46,6610,3795,775952
ID1575332032165,1,1.42,6683,3786,778323
ID1575332155779,1,1.42,6705,3804,780724
ID1575332273749,1,1.42,6665,3787,776801
ID1575332392621,1,1.42,6703,3809,778321
ID1575332517130,1,1.42,6657,3789,777845
ID1575332640433,1,1.42,6702,3799,781066
ID1575332765793,1,1.42,6672,3793,777643
ID1575332891128,1,1.42,6648,3789,776433
ID1575333016363,1,1.42,6651,3791,776847
ID1575333132657,1,1.42,6667,3781,778229
ID1575333255576,1,1.38,6677,3785,780115
ID1575333364293,1,1.38,6700,3785,778520
ID1575333482010,1,1.38,6703,3783,778052
ID1575333601651,1,1.38,6705,3793,776396
ID1575333722340,1,1.38,6730,3789,779602
ID1575333845474,1,1.38,6673,3787,774896
ID1575333964173,1,1.38,6695,3795,776469
ID1575334081168,1,1.38,6712,3800,783900
ID1575334202237,1,1.38,6709,3783,778561
ID1575334319788,1,1.38,6740,3779,779899
ID1575334443517,1,1.3399999999999999,6719,3797,777398
ID1575334561751,1,1.3399999999999999,6800,3811,781553
ID1575334679540,1,1.3399999999999999,6714,3793,776997
ID1575334798686,1,1.3399999999999999,6728,3787,781629
ID1575334919651,1,1.3399999999999999,6786,3809,785652
ID1575335040055,1,1.3399999999999999,6711,3793,776312
ID1575335161062,1,1.3399999999999999,6752,3795,780320
ID1575335284324,1,1.3399999999999999,6696,3791,778805
ID1575335404816,1,1.3399999999999999,6725,3783,779989
ID1575335520474,1,1.3399999999999999,6702,3784,777652
ID1575335640135,1,1.2999999999999998,6751,3801,780996
ID1575335759799,1,1.2999999999999998,6716,3781,779589
ID1575335877789,1,1.2999999999999998,6761,3789,779024
ID1575336008848,1,1.2999999999999998,6737,3787,778670
ID1575336142651,1,1.2999999999999998,6749,3787,781427
ID1575336272966,1,1.2999999999999998,6752,3791,778766
ID1575336398328,1,1.2999999999999998,6742,3793,778756
ID1575336518581,1,1.2999999999999998,6757,3795,779796
ID1575336632787,1,1.2999999999999998,6797,3791,785728
ID1575336758032,1,1.2999999999999998,6761,3793,779449
