ID1576466010899,1,1.58,6251,3803,777575,20000
ID1576466143569,1,1.58,6224,3787,773875,20000
ID1576466266032,1,1.58,6257,3797,778095,20000
ID1576466390386,1,1.58,6246,3803,778597,20000
ID1576466518004,1,1.58,6317,3841,788126,20000
ID1576466655087,1,1.58,6279,3807,778709,20000
ID1576466791398,1,1.58,6260,3817,775778,20000
ID1576466919911,1,1.58,6251,3795,778251,20000
ID1576467051274,1,1.58,6357,3870,787568,20000
ID1576467188842,1,1.58,6235,3799,773497,20000
ID1576467332147,2,1.4945551058756452,5732,3870,707287,20000
ID1576467443129,2,1.4945551058756452,6243,4202,767894,20000
ID1576467560358,2,1.4945551058756452,5795,3911,647041,20000
ID1576467656935,2,1.4945551058756452,5732,3871,726270,20000
ID1576467760819,2,1.4945551058756452,5650,3818,628980,20000
ID1576467855868,2,1.4945551058756452,6090,4135,669616,20000
ID1576467961204,2,1.4945551058756452,5656,3852,623690,20000
ID1576468058040,2,1.4945551058756452,5705,3871,716195,20000
ID1576468165993,2,1.4945551058756452,5947,4026,646083,20000
ID1576468268629,2,1.4945551058756452,7120,4103,715403,20000
ID1576468399335,4,1.4188597493808532,6021,3969,698644,20000
ID1576468510023,4,1.4188597493808532,5883,3885,662366,20000
ID1576468611681,4,1.4188597493808532,5905,3859,660195,20000
ID1576468712556,4,1.4188597493808532,6194,4074,660240,20000
ID1576468820240,4,1.4188597493808532,7264,4887,747512,20000
ID1576468948310,4,1.4188597493808532,6413,4368,725374,20000
ID1576469065570,4,1.4188597493808532,6464,4327,604275,20000
ID1576469169086,4,1.4188597493808532,6168,4127,705722,20000
ID1576469275426,4,1.4188597493808532,6178,4129,690826,20000
ID1576469381619,4,1.4188597493808532,6195,4113,703705,20000
ID1576469490068,8,1.3393631018733518,5935,3853,649100,20000
ID1576469590420,8,1.3393631018733518,5719,3831,645610,20000
ID1576469683653,8,1.3393631018733518,6491,4387,707846,20000
ID1576469794342,8,1.3393631018733518,5785,3851,620344,20000
ID1576469878140,8,1.3393631018733518,5941,3847,677141,20000
ID1576469971847,8,1.3393631018733518,5731,3835,687301,20000
ID1576470067055,8,1.3393631018733518,5697,3827,674455,20000
ID1576470146250,8,1.3393631018733518,5787,3871,681767,20000
ID1576470229100,8,1.3393631018733518,5814,3929,658460,20000
ID1576470315306,8,1.3393631018733518,6095,4021,701009,20000
ID1576472120484,1,1.58,6253,3796,775075,20000
ID1576472249868,1,1.58,6369,3866,792760,20000
ID1576472390433,1,1.58,6199,3791,771985,20000
ID1576472523298,1,1.58,6236,3818,773006,20000
ID1576472649624,1,1.58,6231,3787,776959,20000
ID1576472783348,1,1.58,6265,3815,777174,20000
ID1576472914329,1,1.58,6231,3797,774009,20000
ID1576473046747,1,1.58,6245,3791,773788,20000
ID1576473172228,1,1.58,6242,3797,774435,20000
ID1576473300389,1,1.58,6260,3821,775838,20000
ID1576473429668,2,1.4945551058756452,5736,3849,652238,20000
ID1576473522756,2,1.4945551058756452,5925,4041,659005,20000
ID1576473617611,2,1.4945551058756452,5653,3883,668623,20000
ID1576473712883,2,1.4945551058756452,5677,3847,682514,20000
ID1576473808573,2,1.4945551058756452,5694,3831,709498,20000
ID1576473906781,2,1.4945551058756452,6030,4077,695874,20000
ID1576474010654,2,1.4945551058756452,5642,3841,695629,20000
ID1576474109926,2,1.4945551058756452,5646,3840,694707,20000
ID1576474212340,2,1.4945551058756452,6040,4097,711853,20000
ID1576474320599,2,1.4945551058756452,5979,4041,668978,20000
ID1576474419475,4,1.4188597493808532,6166,4134,691823,20000
ID1576474521168,4,1.4188597493808532,5783,3857,708014,20000
ID1576474623711,4,1.4188597493808532,5810,3822,687461,20000
ID1576474721839,4,1.4188597493808532,6442,4151,676573,20000
ID1576474825222,4,1.4188597493808532,7223,4197,695026,20000
ID1576474936785,4,1.4188597493808532,5821,3905,688098,20000
ID1576475038959,4,1.4188597493808532,6283,4181,693968,20000
ID1576475142503,4,1.4188597493808532,6150,4131,658530,20000
ID1576475244980,4,1.4188597493808532,6453,4306,678731,20000
ID1576475349038,4,1.4188597493808532,7312,4883,651865,20000
ID1576475454398,8,1.3393631018733518,5720,3845,678722,20000
ID1576475551344,8,1.3393631018733518,5956,3817,644131,20000
ID1576475649115,8,1.3393631018733518,6175,4130,697238,20000
ID1576475752680,8,1.3393631018733518,6045,4016,626143,20000
ID1576475847677,8,1.3393631018733518,5837,3889,684030,20000
ID1576475950340,8,1.3393631018733518,6190,4077,643548,20000
ID1576476046649,8,1.3393631018733518,6656,4463,673810,20000
ID1576476153331,8,1.3393631018733518,6040,3847,670603,20000
ID1576476256690,8,1.3393631018733518,6084,4127,650650,20000
ID1576476354254,8,1.3393631018733518,5882,3874,613695,20000
