1575201903120,2,6805,4497,442398
1575201967713,2,7980,5001,479557
1575202039209,2,10373,5175,559210
1575202129775,2,6190,4219,421733
1575202182800,2,6630,4191,453324
1575202239674,2,7540,4667,489642
1575202306473,2,7102,4367,445146
1575202367156,2,8133,5070,493476
1575202436275,2,7355,4576,471151
1575202497898,2,11508,4216,471190
1575202590346,3,12299,4839,484190
1575202684504,3,8808,4409,404622
1575202752422,3,34896,5938,585755
1575202977617,3,10865,5121,447376
1575203062225,3,10206,5126,445182
1575203141579,3,15309,5970,525629
1575203258199,3,23432,7843,627676
1575203428201,3,9562,5119,442718
1575203502823,3,15436,5579,560522
1575203619318,3,8155,4420,388547
1575203682928,4,9506,4485,356165
1575203755409,4,34687,6956,529798
1575203980569,4,8673,4147,380524
1575204045266,4,14799,5065,431820
1575204148432,4,12734,4369,416745
1575204239628,4,26290,5704,490353
1575204421537,4,11173,4719,387546
1575204503830,4,47605,5371,628257
1575204791379,4,14592,5333,430478
1575204896283,4,10946,4642,403357
1575204979637,5,21589,5419,483619
1575205127104,5,34374,8972,572450
1575205350447,5,17190,5713,434353
1575205477489,5,18893,5047,471577
1575205609252,5,14227,4487,415362
1575205713126,5,23264,4708,553297
1575205875267,5,9680,4569,350583
1575205949477,5,12155,4853,399321
1575206043394,5,17971,6283,500489
1575206177221,5,17625,5148,469160
1575206304572,6,29012,6894,506447
1575206806817,6,22849,5501,473110
1575206966062,6,32319,5887,540689
1575207755186,6,23253,5600,467518
1575207916096,6,13559,5030,378815
1575208299430,6,25337,4587,459680
1575208470376,8,15320,4905,379915
1575208856096,8,34735,6188,497731
1575209063950,8,19383,5070,415443
1575209187962,8,24066,5254,467419
1575209332519,8,31300,5385,487931
1575209525928,8,17426,5731,410055
1575209648910,8,17007,4593,392512
1575209760876,8,48442,5509,476623
1575210344623,9,16616,4956,390341
1575210457180,9,12186,4334,360733
1575210541217,9,18016,4705,426096
1575210662908,9,21702,6039,418795
1575210807093,9,32400,5679,430029
1575211610004,9,32036,6219,494323
1575211832304,9,24174,5646,469758
